SA4,Crash_Count,Fatality_Count,Population,Crash_Rate,Fatality_Rate,Population,State,State_Initial
Adelaide - Central and Hills,69,70,310091,22.25,22.57,310091,South Australia,SA
Adelaide - North,94,98,448458,20.96,21.85,448458,South Australia,SA
Adelaide - South,57,59,374910,15.2,15.74,374910,South Australia,SA
Adelaide - West,45,45,243142,18.51,18.51,243142,South Australia,SA
Australian Capital Territory,49,51,431380,11.36,11.82,431380,Australian Capital Territory,ACT
Ballarat,83,95,169854,48.87,55.93,169854,Victoria,Vic
Barossa - Yorke - Mid North,106,120,114862,92.28,104.47,114862,South Australia,SA
Bendigo,71,74,165248,42.97,44.78,165248,Victoria,Vic
Brisbane - East,21,23,243121,8.64,9.46,243121,Queensland,Qld
Brisbane - North,15,16,228486,6.56,7,228486,Queensland,Qld
Brisbane - South,27,28,381849,7.07,7.33,381849,Queensland,Qld
Brisbane - West,4,4,194889,2.05,2.05,194889,Queensland,Qld
Brisbane Inner City,10,11,298546,3.35,3.68,298546,Queensland,Qld
Bunbury,105,111,186068,56.43,59.66,186068,Western Australia,WA
Cairns,54,64,256039,21.09,25,256039,Queensland,Qld
Capital Region,154,166,232799,66.15,71.31,232799,New South Wales,NSW
Central Coast,82,87,345857,23.71,25.15,345857,New South Wales,NSW
Central Queensland,60,65,228200,26.29,28.48,228200,Queensland,Qld
Central West,148,160,213714,69.25,74.87,213714,New South Wales,NSW
Coffs Harbour - Grafton,88,94,142570,61.72,65.93,142570,New South Wales,NSW
Darling Downs - Maranoa,70,81,128706,54.39,62.93,128706,Queensland,Qld
Darwin,85,95,147231,57.73,64.52,147231,Northern Territory,NT
Far West and Orana,105,117,116440,90.18,100.48,116440,New South Wales,NSW
Geelong,78,84,317857,24.54,26.43,317857,Victoria,Vic
Gold Coast,58,64,650996,8.91,9.83,650996,Queensland,Qld
Hobart,57,60,238834,23.87,25.12,238834,Tasmania,Tas
Hume,131,143,180610,72.53,79.18,180610,Victoria,Vic
Hunter Valley exc Newcastle,144,156,285141,50.5,54.71,285141,New South Wales,NSW
Illawarra,58,62,317988,18.24,19.5,317988,New South Wales,NSW
Ipswich,51,55,371126,13.74,14.82,371126,Queensland,Qld
Latrobe - Gippsland,147,161,291051,50.51,55.32,291051,Victoria,Vic
Launceston and North East,70,80,148023,47.29,54.05,148023,Tasmania,Tas
Logan - Beaudesert,49,54,357143,13.72,15.12,357143,Queensland,Qld
Mackay - Isaac - Whitsunday,48,55,174816,27.46,31.46,174816,Queensland,Qld
Mandurah,22,23,105364,20.88,21.83,105364,Western Australia,WA
Melbourne - Inner,64,67,713203,8.97,9.39,713203,Victoria,Vic
Melbourne - Inner East,34,38,400191,8.5,9.5,400191,Victoria,Vic
Melbourne - Inner South,50,50,450242,11.11,11.11,450242,Victoria,Vic
Melbourne - North East,74,78,566199,13.07,13.78,566199,Victoria,Vic
Melbourne - North West,67,72,429721,15.59,16.76,429721,Victoria,Vic
Melbourne - Outer East,94,98,536496,17.52,18.27,536496,Victoria,Vic
Melbourne - South East,155,163,883260,17.55,18.45,883260,Victoria,Vic
Melbourne - West,129,137,867699,14.87,15.79,867699,Victoria,Vic
Mid North Coast,122,131,224808,54.27,58.27,224808,New South Wales,NSW
Moreton Bay - North,44,47,261602,16.82,17.97,261602,Queensland,Qld
Moreton Bay - South,19,19,223958,8.48,8.48,223958,Queensland,Qld
Mornington Peninsula,70,75,312200,22.42,24.02,312200,Victoria,Vic
Murray,62,70,122056,50.8,57.35,122056,New South Wales,NSW
New England and North West,133,149,186312,71.39,79.97,186312,New South Wales,NSW
Newcastle and Lake Macquarie,91,94,382537,23.79,24.57,382537,New South Wales,NSW
North West,106,112,152207,69.64,73.58,152207,Victoria,Vic
Northern Territory - Outback,145,172,98912,146.59,173.89,98912,Northern Territory,NT
Perth - Inner,24,24,187107,12.83,12.83,187107,Western Australia,WA
Perth - North East,49,51,275750,17.77,18.5,275750,Western Australia,WA
Perth - North West,62,67,579082,10.71,11.57,579082,Western Australia,WA
Perth - South East,75,83,531673,14.11,15.61,531673,Western Australia,WA
Perth - South West,55,59,446138,12.33,13.22,446138,Western Australia,WA
Queensland - Outback,54,57,82751,65.26,68.88,82751,Queensland,Qld
Richmond - Tweed,107,114,255304,41.91,44.65,255304,New South Wales,NSW
