SA4 Name 2016,Population,National Remoteness Areas,Month,Year,Year-Month,Crash_Count,Fatality_Count,Crash_Rate,Fatality_Rate
Adelaide - Central and Hills,310091,Inner Regional Australia,1,2019,2019-1,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,1,2021,2021-1,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,2,2019,2019-2,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,2,2021,2021-2,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,3,2018,2018-3,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,3,2019,2019-3,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,3,2020,2020-3,3,3,0.96745794,0.96745794
Adelaide - Central and Hills,310091,Inner Regional Australia,4,2017,2017-4,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,4,2020,2020-4,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,4,2021,2021-4,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,5,2015,2015-5,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,6,2016,2016-6,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,6,2017,2017-6,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,7,2015,2015-7,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,7,2017,2017-7,2,2,0.64497196,0.64497196
Adelaide - Central and Hills,310091,Inner Regional Australia,7,2020,2020-7,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,8,2016,2016-8,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,8,2017,2017-8,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,9,2015,2015-9,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,9,2020,2020-9,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,10,2015,2015-10,2,2,0.64497196,0.64497196
Adelaide - Central and Hills,310091,Inner Regional Australia,10,2019,2019-10,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,10,2020,2020-10,2,2,0.64497196,0.64497196
Adelaide - Central and Hills,310091,Inner Regional Australia,11,2017,2017-11,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Inner Regional Australia,12,2019,2019-12,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,1,2015,2015-1,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,1,2021,2021-1,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,2,2015,2015-2,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,2,2016,2016-2,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,2,2019,2019-2,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,3,2015,2015-3,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,3,2017,2017-3,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,3,2018,2018-3,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,3,2019,2019-3,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,3,2021,2021-3,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,4,2016,2016-4,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,4,2019,2019-4,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,4,2020,2020-4,1,2,0.32248598,0.64497196
Adelaide - Central and Hills,310091,Major Cities of Australia,4,2021,2021-4,2,2,0.64497196,0.64497196
Adelaide - Central and Hills,310091,Major Cities of Australia,5,2015,2015-5,2,2,0.64497196,0.64497196
