Hour,Dayweek,Month,Year,Year-Month,Crash_Count
00,Friday,1,2017,2017-1,1
00,Friday,1,2021,2021-1,1
00,Friday,2,2016,2016-2,1
00,Friday,2,2018,2018-2,2
00,Friday,3,2017,2017-3,1
00,Friday,3,2019,2019-3,1
00,Friday,3,2020,2020-3,1
00,Friday,4,2015,2015-4,1
00,Friday,4,2017,2017-4,1
00,Friday,4,2018,2018-4,1
00,Friday,4,2019,2019-4,1
00,Friday,4,2020,2020-4,1
00,Friday,5,2019,2019-5,1
00,Friday,5,2021,2021-5,1
00,Friday,6,2017,2017-6,1
00,Friday,6,2021,2021-6,1
00,Friday,7,2016,2016-7,2
00,Friday,7,2019,2019-7,1
00,Friday,7,2020,2020-7,1
00,Friday,8,2015,2015-8,1
00,Friday,8,2016,2016-8,1
00,Friday,8,2020,2020-8,1
00,Friday,9,2019,2019-9,1
00,Friday,10,2019,2019-10,2
00,Friday,11,2016,2016-11,1
00,Friday,12,2018,2018-12,1
00,Monday,1,2015,2015-1,1
00,Monday,1,2018,2018-1,1
00,Monday,1,2020,2020-1,1
00,Monday,1,2021,2021-1,2
00,Monday,4,2015,2015-4,1
00,Monday,4,2019,2019-4,1
00,Monday,6,2015,2015-6,1
00,Monday,6,2016,2016-6,1
00,Monday,6,2020,2020-6,1
00,Monday,7,2019,2019-7,2
00,Monday,8,2015,2015-8,1
00,Monday,8,2017,2017-8,1
00,Monday,9,2016,2016-9,3
00,Monday,9,2017,2017-9,1
00,Monday,10,2015,2015-10,2
00,Monday,10,2017,2017-10,1
00,Monday,11,2015,2015-11,1
00,Monday,12,2018,2018-12,1
00,Monday,12,2020,2020-12,1
00,Saturday,1,2015,2015-1,1
00,Saturday,1,2016,2016-1,2
00,Saturday,1,2017,2017-1,1
00,Saturday,1,2019,2019-1,2
00,Saturday,1,2021,2021-1,1
00,Saturday,3,2017,2017-3,2
00,Saturday,3,2018,2018-3,1
00,Saturday,3,2020,2020-3,2
00,Saturday,4,2016,2016-4,3
