Hour,Dayweek,0
00,Friday,29
00,Monday,24
00,Saturday,46
00,Sunday,39
00,Thursday,32
00,Tuesday,14
00,Wednesday,18
01,Friday,24
01,Monday,18
01,Saturday,58
01,Sunday,41
01,Thursday,16
01,Tuesday,9
01,Wednesday,13
02,Friday,24
02,Monday,16
02,Saturday,55
02,Sunday,30
02,Thursday,25
02,Tuesday,16
02,Wednesday,11
03,Friday,16
03,Monday,18
03,Saturday,33
03,Sunday,34
03,Thursday,8
03,Tuesday,11
03,Wednesday,15
04,Friday,17
04,Monday,11
04,Saturday,38
04,Sunday,31
04,Thursday,12
04,Tuesday,20
04,Wednesday,13
05,Friday,32
05,Monday,34
05,Saturday,33
05,Sunday,31
05,Thursday,29
05,Tuesday,20
05,Wednesday,27
06,Friday,42
06,Monday,41
06,Saturday,37
06,Sunday,33
06,Thursday,35
06,Tuesday,39
06,Wednesday,53
07,Friday,40
07,Monday,29
07,Saturday,41
07,Sunday,28
07,Thursday,39
07,Tuesday,40
07,Wednesday,45
08,Friday,32
08,Monday,42
08,Saturday,37
08,Sunday,39
08,Thursday,36
08,Tuesday,37
08,Wednesday,39
09,Friday,37
09,Monday,47
09,Saturday,44
09,Sunday,56
09,Thursday,35
09,Tuesday,51
09,Wednesday,40
10,Friday,48
10,Monday,56
10,Saturday,48
10,Sunday,65
10,Thursday,54
10,Tuesday,50
10,Wednesday,45
11,Friday,51
11,Monday,62
11,Saturday,60
11,Sunday,79
11,Thursday,50
11,Tuesday,52
11,Wednesday,39
12,Friday,53
12,Monday,51
12,Saturday,70
12,Sunday,76
12,Thursday,51
12,Tuesday,55
12,Wednesday,50
13,Friday,52
13,Monday,47
13,Saturday,61
13,Sunday,66
13,Thursday,48
13,Tuesday,40
13,Wednesday,56
14,Friday,81
14,Monday,62
14,Saturday,67
14,Sunday,59
14,Thursday,52
14,Tuesday,47
14,Wednesday,73
15,Friday,84
15,Monday,70
15,Saturday,87
15,Sunday,63
15,Thursday,61
15,Tuesday,64
15,Wednesday,69
16,Friday,62
16,Monday,65
16,Saturday,48
16,Sunday,72
16,Thursday,64
16,Tuesday,65
16,Wednesday,64
17,Friday,74
17,Monday,51
17,Saturday,66
17,Sunday,61
17,Thursday,73
17,Tuesday,56
17,Wednesday,53
18,Friday,67
18,Monday,58
18,Saturday,40
18,Sunday,57
18,Thursday,52
18,Tuesday,56
18,Wednesday,56
19,Friday,65
19,Monday,45
19,Saturday,64
19,Sunday,51
19,Thursday,36
19,Tuesday,40
19,Wednesday,41
20,Friday,52
20,Monday,33
20,Saturday,53
20,Sunday,42
20,Thursday,44
20,Tuesday,30
20,Wednesday,33
21,Friday,49
21,Monday,15
21,Saturday,56
21,Sunday,21
21,Thursday,51
21,Tuesday,34
21,Wednesday,36
22,Friday,41
22,Monday,32
22,Saturday,57
22,Sunday,30
22,Thursday,31
22,Tuesday,35
22,Wednesday,31
23,Friday,55
23,Monday,17
23,Saturday,55
23,Sunday,26
23,Thursday,28
23,Tuesday,31
23,Wednesday,29
