State,State_Initial,SA4 Name 2016,Population,Year,Crash_Count,Fatality_Count,Crash_Rate,Fatality_Rate
Australian Capital Territory,ACT,Australian Capital Territory,431380,2015,14,15,3.25,3.48
Australian Capital Territory,ACT,Australian Capital Territory,431380,2016,10,10,2.32,2.32
Australian Capital Territory,ACT,Australian Capital Territory,431380,2017,4,4,0.93,0.93
Australian Capital Territory,ACT,Australian Capital Territory,431380,2018,7,7,1.62,1.62
Australian Capital Territory,ACT,Australian Capital Territory,431380,2019,5,5,1.16,1.16
Australian Capital Territory,ACT,Australian Capital Territory,431380,2020,4,5,0.93,1.16
Australian Capital Territory,ACT,Australian Capital Territory,431380,2021,5,5,1.16,1.16
New South Wales,NSW,Capital Region,232799,2015,24,25,10.31,10.74
New South Wales,NSW,Capital Region,232799,2016,23,25,9.88,10.74
New South Wales,NSW,Capital Region,232799,2017,24,24,10.31,10.31
New South Wales,NSW,Capital Region,232799,2018,19,24,8.16,10.31
New South Wales,NSW,Capital Region,232799,2019,28,31,12.03,13.32
New South Wales,NSW,Capital Region,232799,2020,23,24,9.88,10.31
New South Wales,NSW,Capital Region,232799,2021,13,13,5.58,5.58
New South Wales,NSW,Central Coast,345857,2015,12,13,3.47,3.76
New South Wales,NSW,Central Coast,345857,2016,15,17,4.34,4.92
New South Wales,NSW,Central Coast,345857,2017,12,12,3.47,3.47
New South Wales,NSW,Central Coast,345857,2018,20,22,5.78,6.36
New South Wales,NSW,Central Coast,345857,2019,9,9,2.60,2.60
New South Wales,NSW,Central Coast,345857,2020,7,7,2.02,2.02
New South Wales,NSW,Central Coast,345857,2021,7,7,2.02,2.02
New South Wales,NSW,Central West,213714,2015,21,23,9.83,10.76
New South Wales,NSW,Central West,213714,2016,28,30,13.10,14.04
New South Wales,NSW,Central West,213714,2017,22,24,10.29,11.23
New South Wales,NSW,Central West,213714,2018,19,19,8.89,8.89
New South Wales,NSW,Central West,213714,2019,24,25,11.23,11.70
New South Wales,NSW,Central West,213714,2020,19,20,8.89,9.36
New South Wales,NSW,Central West,213714,2021,15,19,7.02,8.89
New South Wales,NSW,Coffs Harbour - Grafton,142570,2015,7,7,4.91,4.91
New South Wales,NSW,Coffs Harbour - Grafton,142570,2016,18,19,12.63,13.33
New South Wales,NSW,Coffs Harbour - Grafton,142570,2017,16,17,11.22,11.92
New South Wales,NSW,Coffs Harbour - Grafton,142570,2018,11,12,7.72,8.42
New South Wales,NSW,Coffs Harbour - Grafton,142570,2019,21,21,14.73,14.73
New South Wales,NSW,Coffs Harbour - Grafton,142570,2020,10,13,7.01,9.12
New South Wales,NSW,Coffs Harbour - Grafton,142570,2021,5,5,3.51,3.51
New South Wales,NSW,Far West and Orana,116440,2015,17,18,14.60,15.46
New South Wales,NSW,Far West and Orana,116440,2016,19,22,16.32,18.89
New South Wales,NSW,Far West and Orana,116440,2017,16,18,13.74,15.46
New South Wales,NSW,Far West and Orana,116440,2018,17,19,14.60,16.32
New South Wales,NSW,Far West and Orana,116440,2019,17,18,14.60,15.46
New South Wales,NSW,Far West and Orana,116440,2020,10,11,8.59,9.45
New South Wales,NSW,Far West and Orana,116440,2021,9,11,7.73,9.45
