SA4,Population
Adelaide - Central and Hills,310091
Adelaide - North,448458
Adelaide - South,374910
Adelaide - West,243142
Australian Capital Territory,431380
Ballarat,169854
Barossa - Yorke - Mid North,114862
Bendigo,165248
Brisbane - East,243121
Brisbane - North,228486
Brisbane - South,381849
Brisbane - West,194889
Brisbane Inner City,298546
Bunbury,186068
Cairns,256039
Capital Region,232799
Central Coast,345857
Central Queensland,228200
Central West,213714
Coffs Harbour - Grafton,142570
Darling Downs - Maranoa,128706
Darwin,147231
Far West and Orana,116440
Geelong,317857
Gold Coast,650996
Hobart,238834
Hume,180610
Hunter Valley exc Newcastle,285141
Illawarra,317988
Ipswich,371126
Latrobe - Gippsland,291051
Launceston and North East,148023
Logan - Beaudesert,357143
Mackay - Isaac - Whitsunday,174816
Mandurah,105364
Melbourne - Inner,713203
Melbourne - Inner East,400191
Melbourne - Inner South,450242
Melbourne - North East,566199
Melbourne - North West,429721
Melbourne - Outer East,536496
Melbourne - South East,883260
Melbourne - West,867699
Mid North Coast,224808
Moreton Bay - North,261602
Moreton Bay - South,223958
Mornington Peninsula,312200
Murray,122056
New England and North West,186312
Newcastle and Lake Macquarie,382537
North West,152207
Northern Territory - Outback,98912
Perth - Inner,187107
Perth - North East,275750
Perth - North West,579082
Perth - South East,531673
Perth - South West,446138
Queensland - Outback,82751
Richmond - Tweed,255304
Riverina,161929
Shepparton,134857
South Australia - Outback,84095
South Australia - South East,194817
South East,40168
Southern Highlands and Shoalhaven,158728
Sunshine Coast,393049
Sydney - Baulkham Hills and Hawkesbury,257359
Sydney - Blacktown,385650
Sydney - City and Inner South,372826
Sydney - Eastern Suburbs,296088
Sydney - Inner South West,630964
Sydney - Inner West,326651
Sydney - North Sydney and Hornsby,442646
Sydney - Northern Beaches,274041
Sydney - Outer South West,294899
Sydney - Outer West and Blue Mountains,331168
Sydney - Parramatta,507197
Sydney - Ryde,207511
Sydney - South West,462408
Sydney - Sutherland,231941
Toowoomba,159991
Townsville,238813
Warrnambool and South West,125775
West and North West,113755
Western Australia - Outback (North),98864
Western Australia - Outback (South),116006
Western Australia - Wheat Belt,137509
Wide Bay,302105
