Dayweek,Month,Year,Crash_Count
Friday,January,2015,8
Friday,January,2016,19
Friday,January,2017,18
Friday,January,2018,11
Friday,January,2019,14
Friday,January,2020,16
Friday,January,2021,16
Friday,February,2015,12
Friday,February,2016,12
Friday,February,2017,17
Friday,February,2018,10
Friday,February,2019,11
Friday,February,2020,12
Friday,February,2021,13
Friday,March,2015,14
Friday,March,2016,12
Friday,March,2017,18
Friday,March,2018,27
Friday,March,2019,15
Friday,March,2020,8
Friday,March,2021,11
Friday,April,2015,12
Friday,April,2016,18
Friday,April,2017,15
Friday,April,2018,12
Friday,April,2019,22
Friday,April,2020,11
Friday,April,2021,11
Friday,May,2015,19
Friday,May,2016,12
Friday,May,2017,13
Friday,May,2018,10
Friday,May,2019,11
Friday,May,2020,8
Friday,May,2021,14
Friday,June,2015,16
Friday,June,2016,13
Friday,June,2017,18
Friday,June,2018,7
Friday,June,2019,14
Friday,June,2020,13
Friday,June,2021,14
Friday,July,2015,14
Friday,July,2016,26
Friday,July,2017,14
Friday,July,2018,14
Friday,July,2019,11
Friday,July,2020,16
Friday,July,2021,18
Friday,August,2015,11
Friday,August,2016,23
Friday,August,2017,14
Friday,August,2018,16
Friday,August,2019,18
Friday,August,2020,11
Friday,August,2021,13
Friday,September,2015,10
Friday,September,2016,21
Friday,September,2017,15
Friday,September,2018,20
Friday,September,2019,15
Friday,September,2020,10
Friday,October,2015,17
Friday,October,2016,16
Friday,October,2017,9
Friday,October,2018,9
Friday,October,2019,12
Friday,October,2020,15
Friday,November,2015,15
Friday,November,2016,7
Friday,November,2017,12
Friday,November,2018,12
Friday,November,2019,10
Friday,November,2020,13
Friday,December,2015,11
Friday,December,2016,19
Friday,December,2017,17
Friday,December,2018,14
Friday,December,2019,16
Friday,December,2020,16
Monday,January,2015,17
Monday,January,2016,14
Monday,January,2017,15
Monday,January,2018,21
Monday,January,2019,13
Monday,January,2020,13
Monday,January,2021,12
Monday,February,2015,13
Monday,February,2016,8
Monday,February,2017,9
Monday,February,2018,12
Monday,February,2019,6
Monday,February,2020,11
Monday,February,2021,11
Monday,March,2015,10
Monday,March,2016,16
Monday,March,2017,10
Monday,March,2018,13
